Date,Price,High,Low,Volume BTC,Volume EUR
2020-04-29,7184.29,7646.19,7162.19,17.53,129247.18
2020-04-28,7191.54,7299.99,7102.76,146.53,1054958.47
2020-04-27,7062.94,7264.69,7062.94,137.58,990739.76
2020-04-26,7011.22,7199.94,6978.16,39.16,278582.81
2020-04-25,6938.85,7100,6901.65,7.372,51673.31
2020-04-24,6984.83,7131.68,6500,116.48,817315.7
2020-04-23,6592.5,7058.99,6511.38,171.58,1150498.22
2020-04-22,6350.18,6675.19,6305.33,103.8,675632.11
2020-04-21,6315.75,6488.18,6302.4,79.24,508157.29
2020-04-20,6609.85,6699.05,6309.38,123.04,803660.47
2020-04-19,6686.47,6753.54,6545.11,7.764,51454.59
2020-04-18,6534.97,6749,6481.83,7.601,50644.02
2020-04-17,6555.59,6799,6466.31,112.05,745567.55
2020-04-16,6100.74,6605.85,6001.17,144.84,942290.14
2020-04-15,6283.79,6369.19,6080,121.07,759514.59
2020-04-14,6284.29,6435.18,6260.01,104.11,660198.19
2020-04-13,6402.91,6402.91,6170.03,14.52,90508.99
2020-04-12,6354.08,6662.23,6301.38,15.65,101048.25
2020-04-11,6329.29,6452.7,6260.01,8.16,52283.16
2020-04-10,6353.71,6487.86,6250,150.16,964295.42
2020-04-09,6799.89,6878.77,6653.66,114.83,779425.03
2020-04-08,6710.27,6893.09,6603.09,57.63,389939.46
2020-04-07,6800,7099.99,6550,79.28,544761.07
2020-04-06,6284.1,6800,6261.54,101.52,675311.32
2020-04-05,6342.69,6397.4,6218.71,11.85,74593.19
2020-04-04,6275.75,6445.45,6206.33,10.62,67029.31
2020-04-03,6283.02,6502.31,6200,141.31,909378.02
2020-04-02,6097.66,6640.45,5979.33,99.19,619987.68
2020-04-01,5860.17,6097.66,5668.67,134.11,780997.51
2020-03-31,5886.86,6043.87,5805.12,89.06,527161.76
2020-03-30,5336,5995.19,5336,74.63,435560.19
2020-03-29,5594.63,5751.92,5336,13.76,76461.77
2020-03-28,5805.76,5877.77,5533.76,15.03,86095.07
2020-03-27,6201,6312.41,5800,156.24,961815.2
2020-03-26,6209.04,6288,6123.44,4.396,27238.55
2020-03-25,6278.69,6500,6054.32,98.23,608662.39
2020-03-24,6042.58,6399.98,5982.2,114.34,720189.69
2020-03-23,5508.85,6140.92,5421.71,140.11,829948.02
2020-03-22,5815.79,6069,5505.28,11.17,64819.2
2020-03-21,5800.81,6040,5600,8.717,51011.11
2020-03-20,5849.44,6663.99,5465,102.01,633358.39
2020-03-19,4942.63,6112.8,4897.01,142.57,790308.81
2020-03-18,5089,5350,4656.59,222.81,1087373.34
2020-03-17,4676.91,5145.43,4562.03,167.82,826711.34
2020-03-16,4814.75,5145.43,4120,102.96,482516.03
2020-03-15,4777.08,5498.67,4680.13,16.01,78424.13
2020-03-14,5166.62,5278.16,4700,19.09,94767.03
2020-03-13,4554.93,6384.3,3687.94,136.44,706468.62
2020-03-12,7062.9,7073.99,4500,107.37,595116.99
2020-03-11,7010.56,7212.57,6830,66.48,465017.55
2020-03-10,6931.84,7390,6929.44,120.3,862403.12
2020-03-09,7070,7158.69,6770,147.53,1029119.06
2020-03-08,7907.83,7907.83,7070,14.45,109359.96
2020-03-07,8107.14,8144.4,7872,7.993,64277.38
2020-03-06,8080,8187,8015,91.19,741234.41
2020-03-05,7862.61,8268.25,7862.61,75.98,620672.24
2020-03-04,7866.06,8038.97,7820.34,53.04,421312.78
2020-03-03,7999.8,8114,7797.98,109.15,877611.81
2020-03-02,7728.45,8133.46,7707.38,59.61,479115.64
2020-03-01,7905.17,7999.99,7670.7,7.132,55961.68
2020-02-29,7940.01,8088.88,7794.72,3.14,24960.25
2020-02-28,7991.96,8188.49,7710.63,63.98,510990.2
2020-02-27,8244.5,8369.16,7912.69,58.38,475224.92
2020-02-26,8644.71,8710.32,8005.97,77.08,654901.51
